recession_id,start_date,end_date,duration_months,name,primary_causes,gdp_decline_percent,peak_unemployment_rate,notable_policy_responses
14,2007-12-01,2009-06-01,18,Great Recession,Subprime mortgage crisis; Financial crisis; Housing bubble burst,5.1,10.0,TARP; Economic Stimulus Act; Quantitative easing; Auto industry bailout; Dodd-Frank Act
15,2020-02-01,2020-04-01,2,COVID-19 Recession,COVID-19 pandemic; Economic lockdowns; Supply chain disruptions,19.2,14.7,CARES Act; Paycheck Protection Program; Federal Reserve emergency lending; Enhanced unemployment benefits; Direct stimulus payments
16,1875-07-30,1876-03-31,8,Early 1875s Debt Crisis,Credit crunch; Energy crisis,7.6,20.1,International financial assistance; Trade policy adjustments; Mortgage relief
17,1940-12-02,1941-05-01,5,Early 1940s Fiscal Crisis,Technological disruption,8.6,12.0,Nationalization of key industries
18,1999-07-12,2001-05-18,22,Mid 1999s Regional Recession,War or conflict,13.4,9.8,Quantitative easing
19,1824-08-12,1825-02-27,6,Early 1824s Industrial Decline,Energy crisis,21.1,14.4,Nationalization of key industries
20,1835-04-18,1836-09-14,17,Early 1835s Economic Downturn,Fiscal policy contraction; Market speculation; Supply chain disruptions,20.0,17.4,Price controls; Business loan programs
21,1817-11-05,1819-05-27,18,Late 1817s Commodity Crash,Inflation spike; Fiscal policy contraction,3.1,16.6,Mortgage relief
22,1806-08-11,1807-07-27,11,Late 1806s Regional Recession,Political instability; Energy crisis; Fiscal policy contraction,17.7,7.5,Trade policy adjustments
23,1820-08-27,1820-11-02,3,Late 1820s Tech Bubble,Supply chain disruptions,24.6,16.4,Debt restructuring; Nationalization of key industries; Interest rate cuts
24,1809-11-08,1810-03-02,4,Early 1809s Regional Recession,Fiscal policy contraction,18.9,3.5,Tax cuts; Capital controls; International financial assistance
25,1938-05-22,1939-03-01,10,Late 1938s Structural Recession,Financial market contagion,16.2,23.6,Interest rate cuts; Price controls
26,1820-06-07,1821-12-14,18,Mid 1820s Housing Bubble,Excessive debt accumulation; Monetary policy tightening,11.6,24.9,Interest rate cuts; Price controls
27,1922-04-03,1923-08-05,16,Late 1922s Commodity Crash,Regulatory changes; Market speculation; Asset bubble burst,24.5,21.7,Business loan programs; Direct payments to citizens; Debt restructuring
28,1866-09-09,1868-03-30,18,Late 1866s Deflationary Spiral,Supply chain disruptions; Credit crunch,21.8,10.0,Fiscal stimulus package; Trade policy adjustments; Increased government spending
29,2017-10-16,2018-06-20,8,Mid 2017s Monetary Crisis,Natural disasters,0.4,4.8,Mortgage relief
30,1969-11-26,1970-06-05,7,Mid 1969s Global Slowdown,Pandemic outbreak; War or conflict,8.3,4.1,Interest rate cuts
31,1828-12-16,1830-07-06,19,Mid 1828s Regional Recession,War or conflict; Market speculation,24.9,22.3,Unemployment benefit extensions
32,1998-09-07,2000-03-15,18,Early 1998s Monetary Crisis,Fiscal policy contraction,5.8,6.2,Mortgage relief; Debt restructuring; Trade policy adjustments
33,1829-04-04,1831-06-04,26,Late 1829s Supply Shock,Pandemic outbreak,10.3,3.4,Unemployment benefit extensions; Nationalization of key industries; Increased government spending
34,1893-11-19,1895-03-26,16,Mid 1893s Industrial Decline,Fiscal policy contraction; War or conflict; Excessive debt accumulation,0.8,19.0,Unemployment benefit extensions
35,1944-09-10,1946-03-19,18,Late 1944s Market Crash,War or conflict; Consumer confidence collapse,8.9,4.3,Interest rate cuts; Increased government spending; Currency intervention
36,1964-12-02,1965-09-12,9,Mid 1964s Regional Recession,Excessive debt accumulation; War or conflict; Fiscal policy contraction,19.3,20.9,Bank bailouts; Direct payments to citizens
37,1863-12-15,1865-01-26,13,Late 1863s Fiscal Crisis,Consumer confidence collapse,28.9,18.7,Nationalization of key industries; Capital controls; International financial assistance
38,1926-11-11,1928-08-23,21,Late 1926s Stagflation Period,Currency devaluation,17.2,15.7,Tax cuts
39,1883-09-13,1886-01-15,28,Late 1883s Debt Crisis,Financial market contagion; Asset bubble burst,12.0,6.1,Currency intervention
40,1872-10-13,1872-12-31,2,Early 1872s Commodity Crash,Monetary policy tightening,12.3,20.2,Interest rate cuts
41,1839-08-03,1841-03-25,19,Early 1839s Housing Bubble,Market speculation; Financial market contagion; Asset bubble burst,27.5,4.9,Currency intervention; Infrastructure investment; Fiscal stimulus package
42,1823-06-05,1824-12-28,18,Late 1823s Currency Crisis,Political instability; Trade restrictions,6.8,13.7,Infrastructure investment; Debt restructuring; Increased government spending
43,1860-11-04,1861-06-06,7,Late 1860s Housing Bubble,Market speculation,20.3,11.5,Trade policy adjustments
44,1810-03-07,1812-04-27,25,Early 1810s Tech Bubble,Pandemic outbreak; Natural disasters; War or conflict,23.6,15.4,Unemployment benefit extensions; Price controls; Quantitative easing
45,1843-02-15,1844-01-11,11,Late 1843s Stagflation Period,Supply chain disruptions,18.1,13.3,Trade policy adjustments
46,1823-04-20,1823-07-15,3,Late 1823s Stagflation Period,Market speculation; Inflation spike,9.1,16.8,Direct payments to citizens
47,1873-12-25,1875-10-13,22,Late 1873s Economic Downturn,Natural disasters; Market speculation; Banking system failure,15.1,10.6,Currency intervention; International financial assistance
48,1948-03-14,1950-01-10,22,Early 1948s Trade War Recession,Regulatory changes; War or conflict; Supply chain disruptions,28.0,5.9,Emergency lending facilities
49,1832-05-21,1834-10-19,29,Mid 1832s Structural Recession,Natural disasters,7.8,10.6,Nationalization of key industries
50,1972-08-10,1974-09-27,25,Early 1972s Deflationary Spiral,Regulatory changes,8.0,13.5,International financial assistance; Direct payments to citizens; Trade policy adjustments
51,2007-03-31,2008-01-14,10,Early 2007s Economic Downturn,Technological disruption,12.8,22.4,Direct payments to citizens; Quantitative easing
52,1953-10-20,1955-05-06,19,Late 1953s Global Slowdown,Market speculation; Fiscal policy contraction; Natural disasters,9.9,11.3,Tax cuts; Fiscal stimulus package; Bank bailouts
53,1976-07-29,1976-11-20,4,Early 1976s Housing Bubble,Market speculation,11.5,21.3,Currency intervention
54,1959-08-01,1960-06-11,10,Early 1959s Structural Recession,Market speculation; Excessive debt accumulation; Political instability,6.7,15.4,Capital controls
55,1831-03-24,1831-09-27,6,Late 1831s Market Crash,Trade restrictions; Pandemic outbreak; Excessive debt accumulation,1.8,7.5,Trade policy adjustments; Price controls; Infrastructure investment
56,1936-12-07,1938-12-25,24,Mid 1936s Global Slowdown,Political instability,1.8,4.5,Price controls; Direct payments to citizens
57,1818-12-21,1821-06-28,30,Mid 1818s Economic Downturn,Credit crunch; Fiscal policy contraction; Excessive debt accumulation,11.3,12.8,Business loan programs; Unemployment benefit extensions
58,1980-03-01,1981-10-25,19,Mid 1980s Banking Crisis,Supply chain disruptions; Inflation spike; Asset bubble burst,27.9,13.5,Business loan programs; Quantitative easing
59,1912-04-12,1914-07-26,27,Late 1912s Monetary Crisis,Inflation spike,11.4,9.2,Unemployment benefit extensions; Interest rate cuts
60,1996-09-04,1997-04-18,7,Late 1996s Housing Bubble,Regulatory changes; Asset bubble burst,0.1,10.3,Price controls; Quantitative easing
61,1968-02-21,1970-04-20,26,Mid 1968s Structural Recession,Natural disasters,11.5,14.0,Tax cuts
62,1926-06-05,1927-12-23,18,Early 1926s Market Crash,Currency devaluation,20.1,4.4,Direct payments to citizens
63,1974-03-12,1974-08-21,5,Early 1974s Commodity Crash,Political instability; War or conflict; Energy crisis,25.3,4.2,Business loan programs
64,2018-01-23,2020-01-02,24,Mid 2018s Deflationary Spiral,Supply chain disruptions; Financial market contagion; Regulatory changes,12.7,5.3,Interest rate cuts
65,1818-10-27,1820-08-30,22,Early 1818s Trade War Recession,Market speculation,20.4,8.1,Regulatory reforms; Business loan programs; Quantitative easing
66,2019-07-27,2022-02-09,31,Late 2019s Commodity Crash,Credit crunch; Regulatory changes; Excessive debt accumulation,12.4,16.9,Fiscal stimulus package; Nationalization of key industries; Unemployment benefit extensions
67,1975-01-09,1977-05-21,28,Late 1975s Banking Crisis,Banking system failure,6.9,4.3,Direct payments to citizens
68,1956-11-16,1958-03-08,16,Early 1956s Currency Crisis,Market speculation; Asset bubble burst; Fiscal policy contraction,1.1,13.3,Business loan programs; Price controls
69,1904-07-18,1904-09-25,2,Late 1904s Monetary Crisis,Technological disruption; Pandemic outbreak,4.3,19.1,Debt restructuring
70,2016-10-29,2018-09-17,23,Mid 2016s Economic Downturn,Consumer confidence collapse; Supply chain disruptions,10.4,20.4,Direct payments to citizens; Currency intervention; Price controls
71,1841-03-31,1842-12-12,21,Mid 1841s Fiscal Crisis,Consumer confidence collapse,9.7,24.4,Trade policy adjustments; Interest rate cuts; Capital controls
72,1857-02-23,1859-05-26,27,Late 1857s Deflationary Spiral,Consumer confidence collapse,1.1,15.4,Direct payments to citizens; Capital controls; Tax cuts
73,1847-09-22,1849-06-22,21,Late 1847s Structural Recession,Currency devaluation,16.9,6.1,Trade policy adjustments; Increased government spending; Currency intervention
74,1955-09-21,1956-12-20,15,Early 1955s Fiscal Crisis,Banking system failure; Inflation spike,28.2,18.8,Price controls; Capital controls
75,1875-07-26,1877-07-12,24,Late 1875s Industrial Decline,Financial market contagion; Political instability,5.0,10.3,Business loan programs
76,1882-01-26,1884-07-12,30,Early 1882s Market Crash,Monetary policy tightening; War or conflict,27.6,14.7,Price controls
77,1830-07-04,1831-11-06,16,Late 1830s Fiscal Crisis,Market speculation; Trade restrictions,24.6,24.1,Mortgage relief
78,1819-11-29,1821-10-01,23,Early 1819s Regional Recession,War or conflict; Trade restrictions; Regulatory changes,5.1,9.5,Emergency lending facilities; Currency intervention
79,1903-04-26,1904-12-30,20,Early 1903s Monetary Crisis,War or conflict; Consumer confidence collapse; Supply chain disruptions,30.0,12.3,Interest rate cuts; Currency intervention; Price controls
80,1820-06-20,1820-09-27,3,Mid 1820s Market Crash,War or conflict,29.8,24.6,Trade policy adjustments; Interest rate cuts
81,1936-07-20,1938-08-30,25,Early 1936s Financial Crisis,Credit crunch,5.5,13.5,Capital controls
82,1822-03-10,1824-04-19,25,Late 1822s Monetary Crisis,Inflation spike,17.8,17.8,Mortgage relief
83,1993-12-10,1996-08-20,32,Early 1993s Debt Crisis,Energy crisis,3.7,16.0,Direct payments to citizens; Debt restructuring
84,1899-06-23,1900-09-02,15,Late 1899s Stagflation Period,Trade restrictions; Monetary policy tightening,5.7,17.6,Tax cuts; Interest rate cuts
85,1915-10-14,1917-02-20,16,Late 1915s Banking Crisis,Financial market contagion; Excessive debt accumulation; Consumer confidence collapse,30.0,21.4,Unemployment benefit extensions
86,1890-09-12,1890-12-08,3,Late 1890s Supply Shock,Regulatory changes; Asset bubble burst; Technological disruption,8.8,13.1,Trade policy adjustments; Direct payments to citizens; Unemployment benefit extensions
87,1939-12-09,1940-12-15,12,Mid 1939s Commodity Crash,Currency devaluation,24.1,13.9,Bank bailouts; Debt restructuring; Increased government spending
88,1837-06-25,1838-11-12,17,Early 1837s Banking Crisis,Monetary policy tightening; Market speculation,9.8,18.8,Capital controls; Mortgage relief; Direct payments to citizens
89,1948-01-06,1950-03-23,26,Early 1948s Banking Crisis,Market speculation; War or conflict; Financial market contagion,21.9,15.4,Capital controls; Interest rate cuts
90,2017-04-07,2019-01-07,21,Mid 2017s Regional Recession,Technological disruption; War or conflict,12.5,5.2,Currency intervention; Mortgage relief; Capital controls
91,2019-07-10,2020-11-09,16,Late 2019s Supply Shock,Financial market contagion; Regulatory changes,1.2,15.4,Increased government spending; Regulatory reforms; Price controls
92,1966-03-07,1968-08-19,29,Early 1966s Housing Bubble,Credit crunch; Pandemic outbreak,14.8,9.4,Mortgage relief; Bank bailouts; Infrastructure investment
93,1805-09-18,1807-03-07,18,Early 1805s Tech Bubble,Pandemic outbreak; Regulatory changes; Monetary policy tightening,5.0,21.2,Unemployment benefit extensions; Fiscal stimulus package; International financial assistance
94,1851-11-23,1852-07-05,8,Early 1851s Regional Recession,Fiscal policy contraction; Energy crisis,6.4,22.6,Nationalization of key industries; Quantitative easing; Regulatory reforms
95,1917-11-25,1919-09-05,22,Mid 1917s Global Slowdown,Consumer confidence collapse; Energy crisis,4.9,4.1,Infrastructure investment; Trade policy adjustments; Mortgage relief
96,1833-12-16,1834-12-09,12,Mid 1833s Commodity Crash,Inflation spike,20.6,22.2,Capital controls; Nationalization of key industries
97,2019-12-12,2020-12-23,12,Late 2019s Market Crash,War or conflict,6.6,3.7,Capital controls; Business loan programs
98,1836-01-13,1838-02-06,25,Mid 1836s Housing Bubble,Trade restrictions; Supply chain disruptions; Natural disasters,17.9,14.1,Infrastructure investment
99,1875-02-09,1876-02-10,12,Mid 1875s Demand Shock,Natural disasters; Pandemic outbreak,8.9,13.7,Emergency lending facilities; Direct payments to citizens; Bank bailouts
100,2018-05-27,2019-05-12,12,Early 2018s Currency Crisis,Credit crunch; Fiscal policy contraction,22.3,20.4,Increased government spending; Interest rate cuts
101,1803-09-17,1806-06-04,33,Mid 1803s Industrial Decline,Trade restrictions; Regulatory changes,13.1,16.1,Tax cuts; Direct payments to citizens
102,1909-06-06,1910-01-13,7,Mid 1909s Supply Shock,Banking system failure; Excessive debt accumulation; Credit crunch,9.0,4.1,Trade policy adjustments
103,2014-01-22,2015-02-13,13,Early 2014s Economic Downturn,Regulatory changes,27.1,20.8,Trade policy adjustments; Fiscal stimulus package
104,1884-10-04,1886-12-22,26,Late 1884s Fiscal Crisis,Pandemic outbreak,21.4,21.3,Infrastructure investment
105,1960-10-20,1962-02-20,16,Early 1960s Global Slowdown,Trade restrictions,19.9,21.5,Capital controls
106,1865-06-06,1866-11-08,17,Late 1865s Trade War Recession,Consumer confidence collapse,17.3,19.2,Regulatory reforms; Quantitative easing; Increased government spending
107,1952-08-28,1953-05-17,9,Late 1952s Housing Bubble,Excessive debt accumulation,25.9,13.9,Mortgage relief
108,2000-11-20,2002-10-06,23,Mid 2000s Trade War Recession,War or conflict,8.9,4.7,Currency intervention; International financial assistance
109,1900-02-24,1900-04-28,2,Early 1900s Industrial Decline,Natural disasters; Asset bubble burst; War or conflict,22.7,19.8,International financial assistance; Unemployment benefit extensions; Price controls
110,2011-07-19,2013-08-17,25,Early 2011s Demand Shock,Regulatory changes,19.1,6.5,Interest rate cuts
111,1984-12-27,1986-08-29,20,Mid 1984s Stagflation Period,Credit crunch; Market speculation; Banking system failure,3.3,19.9,Emergency lending facilities; Capital controls; Interest rate cuts
112,1852-10-26,1853-04-06,6,Mid 1852s Housing Bubble,Pandemic outbreak,29.2,11.1,Interest rate cuts; Trade policy adjustments
113,1826-08-22,1826-12-10,4,Early 1826s Tech Bubble,Currency devaluation; Energy crisis; Consumer confidence collapse,13.6,15.0,Quantitative easing; Infrastructure investment; Capital controls
114,1893-11-23,1894-03-18,4,Mid 1893s Financial Crisis,Inflation spike; Trade restrictions,19.2,15.0,Increased government spending; Direct payments to citizens; Capital controls
115,1907-10-29,1908-07-10,9,Early 1907s Deflationary Spiral,Consumer confidence collapse,4.9,7.5,Trade policy adjustments
116,1954-02-04,1956-06-21,28,Late 1954s Stagflation Period,Political instability; War or conflict; Asset bubble burst,7.9,7.8,Trade policy adjustments
117,1890-08-13,1892-05-17,21,Mid 1890s Financial Crisis,Pandemic outbreak; Excessive debt accumulation; War or conflict,20.6,5.2,Emergency lending facilities; Price controls
118,1944-03-01,1946-05-23,26,Late 1944s Economic Downturn,Asset bubble burst; Regulatory changes,28.4,6.1,Bank bailouts; Quantitative easing; Regulatory reforms
119,1828-04-13,1829-01-20,9,Late 1828s Deflationary Spiral,Pandemic outbreak,28.0,15.3,Price controls; International financial assistance; Business loan programs
120,2020-09-01,2023-03-23,30,Mid 2020s Economic Downturn,Trade restrictions; Currency devaluation; Financial market contagion,15.8,16.8,Currency intervention; Unemployment benefit extensions
121,1848-06-09,1849-02-08,8,Mid 1848s Banking Crisis,Consumer confidence collapse; Political instability,24.6,7.1,Mortgage relief
122,1962-01-09,1963-12-24,23,Late 1962s Housing Bubble,Market speculation,7.3,22.0,Nationalization of key industries; Mortgage relief
123,1895-05-01,1897-03-18,22,Early 1895s Industrial Decline,Pandemic outbreak,20.2,21.9,Debt restructuring
124,1986-02-15,1988-07-12,29,Early 1986s Commodity Crash,Banking system failure; Market speculation,5.2,3.3,Mortgage relief; Unemployment benefit extensions
125,1826-03-26,1828-02-22,23,Mid 1826s Deflationary Spiral,Energy crisis; Credit crunch,17.0,5.9,Trade policy adjustments; Currency intervention
126,1969-12-09,1970-08-21,8,Mid 1969s Commodity Crash,Technological disruption,20.7,4.2,International financial assistance
127,1988-11-26,1990-02-15,15,Early 1988s Industrial Decline,Natural disasters; Technological disruption; Inflation spike,29.4,22.7,Unemployment benefit extensions; Debt restructuring; Fiscal stimulus package
128,1953-08-14,1956-04-14,32,Early 1953s Global Slowdown,Pandemic outbreak; Inflation spike; Political instability,12.2,3.9,Debt restructuring; Interest rate cuts
129,1808-12-21,1809-10-20,10,Mid 1808s Tech Bubble,Political instability; Fiscal policy contraction; Monetary policy tightening,7.9,17.5,International financial assistance; Capital controls; Business loan programs
130,1976-02-09,1978-01-26,23,Mid 1976s Housing Bubble,Trade restrictions; Financial market contagion,8.7,16.6,Unemployment benefit extensions; Capital controls
131,1991-12-28,1993-09-21,21,Late 1991s Commodity Crash,Consumer confidence collapse; Currency devaluation; Financial market contagion,7.3,11.8,Tax cuts; Emergency lending facilities; Nationalization of key industries
132,1912-05-25,1914-09-29,28,Late 1912s Banking Crisis,Financial market contagion; Credit crunch,28.3,18.5,Fiscal stimulus package; Infrastructure investment; Capital controls
133,1807-12-28,1810-08-18,32,Mid 1807s Demand Shock,Monetary policy tightening; Technological disruption,16.0,5.4,Trade policy adjustments; Nationalization of key industries; Quantitative easing
134,1898-04-02,1899-04-03,12,Mid 1898s Structural Recession,Political instability; Supply chain disruptions,1.3,18.6,Currency intervention; Direct payments to citizens
135,1885-03-24,1887-07-12,28,Late 1885s Economic Downturn,Credit crunch,19.6,12.9,Emergency lending facilities
136,1999-12-15,2002-05-01,29,Early 1999s Trade War Recession,Inflation spike; Trade restrictions,11.5,23.4,Price controls
137,1905-10-30,1908-07-06,33,Mid 1905s Fiscal Crisis,Technological disruption; Currency devaluation; Monetary policy tightening,27.5,22.4,International financial assistance
138,2016-10-27,2018-12-05,26,Mid 2016s Structural Recession,Technological disruption; Trade restrictions; Regulatory changes,10.5,21.8,Currency intervention; Fiscal stimulus package
139,1826-10-24,1827-02-20,4,Mid 1826s Currency Crisis,Pandemic outbreak,28.9,9.2,Bank bailouts; Tax cuts
140,1943-09-07,1944-04-28,7,Mid 1943s Housing Bubble,War or conflict; Consumer confidence collapse; Political instability,16.8,11.0,Increased government spending; Bank bailouts; Price controls
141,1961-03-20,1963-01-04,22,Late 1961s Economic Downturn,Market speculation,20.1,9.2,Nationalization of key industries; Trade policy adjustments
142,1843-07-22,1845-12-29,29,Early 1843s Trade War Recession,Supply chain disruptions,3.2,12.8,Nationalization of key industries; Interest rate cuts; Infrastructure investment
143,1933-01-30,1933-05-06,4,Mid 1933s Housing Bubble,Supply chain disruptions; Banking system failure; Monetary policy tightening,23.6,5.2,International financial assistance; Quantitative easing
144,1845-01-12,1847-03-29,26,Late 1845s Stagflation Period,Fiscal policy contraction,27.8,22.8,Increased government spending; Direct payments to citizens
145,1836-08-16,1838-05-30,21,Early 1836s Financial Crisis,Pandemic outbreak; War or conflict,5.3,5.6,Currency intervention; Emergency lending facilities
146,1889-05-04,1889-10-13,5,Mid 1889s Housing Bubble,Credit crunch; Pandemic outbreak; Excessive debt accumulation,22.4,9.5,Capital controls; Direct payments to citizens; Debt restructuring
147,1971-01-14,1972-08-31,19,Early 1971s Structural Recession,Banking system failure; Asset bubble burst,27.3,12.3,Bank bailouts; Mortgage relief; Business loan programs
148,1891-10-07,1892-06-14,8,Mid 1891s Banking Crisis,Banking system failure; Regulatory changes,21.6,10.5,Bank bailouts
149,1936-11-29,1939-03-28,28,Early 1936s Trade War Recession,Asset bubble burst,8.8,4.3,Mortgage relief
150,1852-11-01,1855-04-10,29,Mid 1852s Tech Bubble,Regulatory changes; Technological disruption; Trade restrictions,10.7,8.2,Business loan programs
151,1982-10-24,1983-12-15,14,Late 1982s Stagflation Period,Natural disasters,26.1,8.1,Direct payments to citizens; Mortgage relief; Regulatory reforms
152,1809-11-08,1812-02-17,27,Mid 1809s Trade War Recession,War or conflict; Currency devaluation,19.1,18.6,Debt restructuring; Regulatory reforms
153,1888-07-09,1891-03-14,32,Early 1888s Fiscal Crisis,Excessive debt accumulation,13.5,8.1,Debt restructuring; Fiscal stimulus package; Tax cuts
154,2003-12-02,2004-05-30,5,Late 2003s Housing Bubble,Asset bubble burst,12.2,19.8,Capital controls; Direct payments to citizens; Debt restructuring
155,1988-10-24,1989-08-04,10,Early 1988s Commodity Crash,Supply chain disruptions; Energy crisis; Trade restrictions,22.5,18.4,Debt restructuring; Direct payments to citizens
156,1932-01-23,1934-08-29,31,Mid 1932s Deflationary Spiral,Asset bubble burst; Consumer confidence collapse,0.2,22.5,Nationalization of key industries; Quantitative easing
157,1939-02-28,1939-11-20,9,Mid 1939s Monetary Crisis,Trade restrictions; Political instability,9.7,5.8,Interest rate cuts; Currency intervention
158,1801-03-19,1802-08-30,17,Late 1801s Structural Recession,Credit crunch,27.5,11.9,Trade policy adjustments; Business loan programs
159,1890-09-21,1892-01-23,16,Late 1890s Industrial Decline,Natural disasters; Excessive debt accumulation,29.8,10.7,Regulatory reforms; Direct payments to citizens
160,1987-07-01,1988-01-11,6,Late 1987s Financial Crisis,Financial market contagion; Inflation spike; Pandemic outbreak,28.7,14.3,Direct payments to citizens; Business loan programs; Debt restructuring
161,1897-11-16,1900-07-14,32,Early 1897s Industrial Decline,Asset bubble burst,13.6,13.2,Interest rate cuts; Trade policy adjustments; Emergency lending facilities
162,1897-06-17,1898-08-14,14,Late 1897s Supply Shock,Consumer confidence collapse; Trade restrictions; Political instability,26.8,12.0,Currency intervention; Price controls; Business loan programs
163,1915-09-08,1917-06-18,21,Mid 1915s Stagflation Period,Pandemic outbreak,9.2,20.6,Mortgage relief; Fiscal stimulus package
164,1992-01-04,1992-10-29,9,Mid 1992s Commodity Crash,Excessive debt accumulation; Natural disasters,21.8,9.6,Increased government spending; Infrastructure investment
165,1851-12-26,1852-06-05,6,Late 1851s Financial Crisis,Technological disruption; Asset bubble burst; Market speculation,10.4,21.0,Business loan programs; Fiscal stimulus package
166,1957-04-15,1958-12-16,20,Early 1957s Banking Crisis,Technological disruption,1.4,7.0,Debt restructuring; Infrastructure investment; Direct payments to citizens
167,1823-05-02,1824-06-14,13,Mid 1823s Debt Crisis,Technological disruption; Regulatory changes,7.1,16.2,Debt restructuring; Currency intervention
168,1874-05-09,1876-07-15,26,Late 1874s Deflationary Spiral,Pandemic outbreak; Financial market contagion; Trade restrictions,24.5,20.4,Quantitative easing; Mortgage relief; Trade policy adjustments
169,1940-08-08,1942-06-08,22,Early 1940s Supply Shock,Monetary policy tightening; Banking system failure; Consumer confidence collapse,20.9,3.1,Mortgage relief
170,2018-06-26,2019-02-05,8,Early 2018s Financial Crisis,Political instability; Fiscal policy contraction; Regulatory changes,14.0,25.0,Interest rate cuts
171,1941-01-30,1942-11-21,22,Early 1941s Debt Crisis,Monetary policy tightening; Consumer confidence collapse; Supply chain disruptions,13.9,5.9,Mortgage relief
172,2012-02-10,2014-02-27,24,Mid 2012s Deflationary Spiral,Trade restrictions,27.4,3.8,Quantitative easing; Emergency lending facilities
173,2003-11-12,2006-04-22,29,Mid 2003s Global Slowdown,Excessive debt accumulation; Consumer confidence collapse,22.9,8.1,International financial assistance
174,1825-09-08,1827-02-09,17,Late 1825s Industrial Decline,Supply chain disruptions; Inflation spike; Political instability,17.8,15.2,Price controls; Mortgage relief
175,1833-12-02,1834-08-01,8,Late 1833s Trade War Recession,Regulatory changes; Consumer confidence collapse; Technological disruption,11.7,4.3,Bank bailouts
176,1990-06-24,1992-12-31,30,Early 1990s Tech Bubble,Energy crisis; Financial market contagion,16.6,13.6,Mortgage relief
177,1806-10-07,1807-08-19,10,Mid 1806s Stagflation Period,Pandemic outbreak; War or conflict; Monetary policy tightening,20.5,20.4,Trade policy adjustments
178,1814-10-14,1816-05-12,19,Late 1814s Monetary Crisis,Monetary policy tightening; Consumer confidence collapse; War or conflict,14.2,21.3,Increased government spending; Currency intervention; Capital controls
179,1919-07-26,1919-10-10,3,Late 1919s Industrial Decline,Market speculation; War or conflict,14.9,14.0,Mortgage relief; Bank bailouts; Quantitative easing
180,1967-11-21,1968-07-08,8,Mid 1967s Fiscal Crisis,Supply chain disruptions,24.1,3.5,Capital controls; Emergency lending facilities; Regulatory reforms
181,1931-04-04,1933-01-19,21,Mid 1931s Supply Shock,Credit crunch,11.4,3.7,Direct payments to citizens
182,1849-06-21,1850-12-11,18,Mid 1849s Supply Shock,Supply chain disruptions; Trade restrictions,25.4,3.7,International financial assistance; Nationalization of key industries
183,1986-09-02,1988-11-23,26,Early 1986s Tech Bubble,Political instability; Supply chain disruptions,10.4,23.4,Bank bailouts; Nationalization of key industries
184,1940-09-02,1941-11-10,14,Mid 1940s Demand Shock,Supply chain disruptions; Energy crisis,29.1,19.0,Unemployment benefit extensions; Business loan programs
185,1987-05-17,1989-09-05,28,Early 1987s Regional Recession,Energy crisis,21.2,12.2,Nationalization of key industries; Increased government spending; International financial assistance
186,1826-11-01,1827-11-07,12,Mid 1826s Commodity Crash,War or conflict,12.4,3.8,Unemployment benefit extensions
187,1916-01-31,1916-04-26,3,Late 1916s Trade War Recession,Energy crisis,17.9,15.7,Bank bailouts; Unemployment benefit extensions
188,1816-02-01,1816-11-27,9,Mid 1816s Industrial Decline,Supply chain disruptions; Political instability,1.3,21.9,Tax cuts; Bank bailouts
